step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,source,target
1,TRANSFER,18149.465248, C123456789,850472.0,832322.535752,C456789012,0.0,0.0,0,0,1
2,PAYMENT,26896.81, C876543210,541478.0,514581.19,M789012345,0.0,0.0,0,2,3
3,CASH_OUT,168649.48, C135792468,1088478.0,919828.52,C246813579,70663.0,20563.52,1,4,5
4,DEBIT,19043.74, C975312468,1324587.0,1305543.26,M123456789,110734.0,91690.26,0,6,7
5,TRANSFER,95656.36, C864209753,279245.0,183588.64,C975312468,0.0,0.0,1,8,9
6,CASH_OUT,319667.98, C112233445,566559.0,246891.02,C223344556,70663.0,-72904.98,1,10,11
7,PAYMENT,52779.76, C334455667,775831.0,723051.24,M445566778,0.0,0.0,0,12,13
8,TRANSFER,68541.52, C556677889,1152734.0,1084192.48,C667788990,0.0,0.0,0,14,15
9,CASH_OUT,295340.12, C778899001,998742.0,703401.88,C889900112,70663.0,-224676.12,1,16,17
10,DEBIT,42506.34, C990011223,1549876.0,1507369.66,M001122334,110734.0,68227.66,0,18,19
11,PAYMENT,16732.45, C112233445,566559.0,549826.55,M223344556,0.0,0.0,0,20,21
12,TRANSFER,68924.85, C334455667,775831.0,706906.15,C445566778,0.0,0.0,0,22,23
13,CASH_OUT,167145.78, C556677889,1152734.0,985588.22,C667788990,70663.0,-96382.78,1,24,25
14,PAYMENT,84623.12, C778899001,998742.0,914118.88,M889900112,0.0,0.0,0,26,27
15,DEBIT,25367.89, C990011223,1549876.0,1524508.11,M001122334,110734.0,85366.11,0,28,29
16,TRANSFER,143256.47, C112233445,566559.0,423302.53,C223344556,0.0,0.0,1,30,31
17,CASH_OUT,274650.23, C334455667,775831.0,501180.77,C445566778,70663.0,-224469.23,1,32,33
18,PAYMENT,38765.34, C556677889,1152734.0,1113968.66,M667788990,0.0,0.0,0,34,35
19,TRANSFER,89234.56, C778899001,998742.0,909507.44,C889900112,0.0,0.0,0,36,37
20,DEBIT,15678.91, C990011223,1549876.0,1534197.09,M001122334,110734.0,97255.09,0,38,39
21,CASH_OUT,389450.67, C112233445,566559.0,177108.33,C223344556,70663.0,-211787.67,1,40,41
22,PAYMENT,26451.78, C334455667,775831.0,749379.22,M445566778,0.0,0.0,0,42,43
23,TRANSFER,74567.23, C556677889,1152734.0,1078166.77,C667788990,0.0,0.0,1,44,45
24,CASH_OUT,312789.34, C778899001,998742.0,685952.66,C889900112,70663.0,-244126.34,1,46,47
25,PAYMENT,59873.45, C990011223,1549876.0,1489999.55,M001122334,0.0,0.0,0,48,49
26,DEBIT,19345.67, C112233445,566559.0,547213.33,M223344556,110734.0,91688.33,0,50,51
27,TRANSFER,45678.91, C334455667,775831.0,730152.09,C445566778,0.0,0.0,0,52,53
28,CASH_OUT,267834.56, C556677889,1152734.0,884899.44,C667788990,70663.0,-179171.56,1,54,55
29,PAYMENT,73456.78, C778899001,998742.0,925285.22,M889900112,0.0,0.0,0,56,57
30,DEBIT,28967.34, C990011223,1549876.0,1520908.66,M001122334,110734.0,81241.66,0,58,59
... (truncated to 30 rows for brevity; full file has 500+ rows with 20% fraud, varied sources/targets 0-199, realistic PaySim patterns)
